Designator,Comment,Footprint,Mid X, Mid Y,Rot,Side
"C1","10uF","C_0805_2012Metric",165.000000,-60.750000,0.000000,top
"C2","10uF","C_0805_2012Metric",165.000000,-68.000000,0.000000,top
"C3","10uF","C_0805_2012Metric",165.000000,-73.000000,0.000000,top
"C4","4.7uF","C_0805_2012Metric",110.500000,-93.750000,270.000000,top
"C5","100nF","C_0402_1005Metric",98.000000,-90.000000,180.000000,top
"C6","100nF","C_0402_1005Metric",96.000000,-95.500000,90.000000,top
"C7","100nF","C_0402_1005Metric",106.000000,-99.750000,180.000000,top
"C8","100nF","C_0402_1005Metric",108.000000,-90.000000,0.000000,top
"C9","1uF","C_0805_2012Metric",99.000000,-87.000000,90.000000,top
"C10","100nF","C_0402_1005Metric",100.500000,-87.500000,90.000000,top
"C11","10nF","C_0402_1005Metric",101.500000,-87.500000,90.000000,top
"C12","30pF","C_0603_1608Metric",93.000000,-90.000000,180.000000,top
"C13","30pF","C_0603_1608Metric",93.000000,-96.000000,180.000000,top
"C16","10uF","C_0805_2012Metric",139.000000,-79.000000,180.000000,top
"C17","10uF","C_0805_2012Metric",139.000000,-89.000000,180.000000,top
"C18","1uF","C_0805_2012Metric",147.500000,-93.000000,270.000000,top
"C19","1uF","C_0805_2012Metric",147.500000,-83.000000,270.000000,top
"D1","POWER_LED","LED_0603_1608Metric",164.000000,-78.000000,90.000000,top
"D2","STATUS_LED","LED_0603_1608Metric",110.250000,-97.000000,180.000000,top
"D3","B5819W","D_SOD-123",146.000000,-89.000000,0.000000,top
"D4","B5819W","D_SOD-123",146.000000,-79.000000,0.000000,top
"J1","USB_B_Micro","USB_Micro-B_Amphenol_10103594-0001LF_Horizontal",95.000000,-49.000000,180.000000,top
"Q1","FDS6574A","SOIC-8_3.9x4.9mm_P1.27mm",182.000000,-95.000000,180.000000,top
"Q2","FDS6574A","SOIC-8_3.9x4.9mm_P1.27mm",182.000000,-86.000000,180.000000,top
"Q3","FDS6574A","SOIC-8_3.9x4.9mm_P1.27mm",182.000000,-73.000000,180.000000,top
"Q4","FDS6574A","SOIC-8_3.9x4.9mm_P1.27mm",182.000000,-64.000000,180.000000,top
"R3","100","R_0402_1005Metric",166.000000,-79.000000,0.000000,top
"R10","100","R_0402_1005Metric",112.750000,-96.500000,90.000000,top
"R11","2.2K","R_0402_1005Metric",104.500000,-128.500000,270.000000,top
"R12","2.2K","R_0402_1005Metric",107.000000,-128.500000,270.000000,top
"U1","AMS1117-5.0","SOT-223-3_TabPin2",158.000000,-63.000000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",158.000000,-73.000000,0.000000,top
"U3","IR2104","SOIC-8_3.9x4.9mm_P1.27mm",142.000000,-93.000000,270.000000,top
"U4","IR2104","SOIC-8_3.9x4.9mm_P1.27mm",142.000000,-83.000000,270.000000,top
"U11","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",103.000000,-94.000000,270.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",93.000000,-93.000000,270.000000,top
